game_id,tool,repairs,mission_failures_damaged
bc8148b927219ad8,VESSEL,1,0
74dfec9fae05c2c3,KNIFE,0,0
74dfec9fae05c2c3,VESSEL,0,0
46dd9bf55f81e747,KNIFE,0,0
46dd9bf55f81e747,VESSEL,1,0
e6cd47d65f8e0c5e,KNIFE,1,0
e6cd47d65f8e0c5e,VESSEL,2,0
c6e4307e43e6cd6d,KNIFE,0,0
c6e4307e43e6cd6d,VESSEL,0,0
5c5598fb05463ba8,KNIFE,1,1
5c5598fb05463ba8,VESSEL,0,0
4679892cdbec262e,KNIFE,0,0
4679892cdbec262e,VESSEL,0,0
bafbe3440776451f,KNIFE,0,0
bafbe3440776451f,VESSEL,1,0
1d5e0224b95c2923,KNIFE,0,0
1d5e0224b95c2923,VESSEL,0,0
af8579125eef5faf,KNIFE,0,5
af8579125eef5faf,VESSEL,0,1
c5d9db91ecb39228,KNIFE,1,0
c5d9db91ecb39228,VESSEL,0,0
50578b7daf2462b0,KNIFE,1,0
50578b7daf2462b0,VESSEL,0,0
f8d0eb6d5a094190,KNIFE,0,0
f8d0eb6d5a094190,VESSEL,1,0
07851aeb7e517175,KNIFE,0,0
07851aeb7e517175,VESSEL,1,2
9149e91b9188ed16,KNIFE,0,0
9149e91b9188ed16,VESSEL,0,0
f179ae78107ffe43,KNIFE,0,0
f179ae78107ffe43,VESSEL,0,0
2ac97bbd8ac8464a,KNIFE,2,0
2ac97bbd8ac8464a,VESSEL,0,0
cbc74c6f6692b23c,KNIFE,1,0
cbc74c6f6692b23c,VESSEL,0,0
ddbf63f8a9190104,KNIFE,0,0
ddbf63f8a9190104,VESSEL,0,0
b541feba22542b6d,KNIFE,1,0
b541feba22542b6d,VESSEL,1,0
efccbb8b5340bb75,KNIFE,1,0
efccbb8b5340bb75,VESSEL,0,0
a204bc1f41db4219,KNIFE,1,0
a204bc1f41db4219,VESSEL,0,0
4871dddf66059428,KNIFE,2,0
4871dddf66059428,VESSEL,0,0
33ec535e1d1056fa,KNIFE,0,2
33ec535e1d1056fa,VESSEL,0,0
3578404312e833a3,KNIFE,0,0
3578404312e833a3,VESSEL,0,0
6da87903aeb4c24d,KNIFE,0,0
6da87903aeb4c24d,VESSEL,1,0
d65771041ff4ec93,KNIFE,1,0
d65771041ff4ec93,VESSEL,0,0
38e99b7a5b8392ce,KNIFE,0,1
38e99b7a5b8392ce,VESSEL,0,0
e9507b153e633599,KNIFE,2,0
e9507b153e633599,VESSEL,1,0
06958054364f69cc,KNIFE,0,0
06958054364f69cc,VESSEL,0,0
2b1a6746df658f1c,KNIFE,1,0
2b1a6746df658f1c,VESSEL,0,0
9921bcd1c5903be8,KNIFE,0,0
9921bcd1c5903be8,VESSEL,0,0
ba3660f5b0cdeec4,KNIFE,0,0
ba3660f5b0cdeec4,VESSEL,1,0
e9a3c50caa211c3e,KNIFE,0,0
e9a3c50caa211c3e,VESSEL,2,1
9abddc9f418225b9,KNIFE,0,0
9abddc9f418225b9,VESSEL,0,0
bb4ff99da6a051d3,KNIFE,0,0
bb4ff99da6a051d3,VESSEL,0,0
8b73b36b9de8d730,KNIFE,1,0
8b73b36b9de8d730,VESSEL,1,0
4f94e4526714ccdc,KNIFE,0,0
4f94e4526714ccdc,VESSEL,1,0
ae52ef8601d158f1,KNIFE,0,2
ae52ef8601d158f1,VESSEL,0,0
cd7a14b8e38e0283,KNIFE,1,0
cd7a14b8e38e0283,VESSEL,0,0
e79bb70be0cfb39a,KNIFE,1,0
e79bb70be0cfb39a,VESSEL,1,0
748a4949f9a59856,KNIFE,0,0
748a4949f9a59856,VESSEL,0,0
dbf2d69417383b4f,KNIFE,1,0
dbf2d69417383b4f,VESSEL,1,0
47b1a30acbe46a06,KNIFE,1,0
47b1a30acbe46a06,VESSEL,0,0
4541fa1cbf8d105c,KNIFE,2,0
4541fa1cbf8d105c,VESSEL,0,0
64e318edd85b6d01,KNIFE,0,0
64e318edd85b6d01,VESSEL,0,0
2f9c1702d37bfcf4,KNIFE,1,0
2f9c1702d37bfcf4,VESSEL,0,0
e8d2654bb81928f1,KNIFE,0,0
e8d2654bb81928f1,VESSEL,0,0
d42d47cd9aa3445e,KNIFE,0,0
d42d47cd9aa3445e,VESSEL,0,0
dfd84655e5ff9059,KNIFE,2,0
dfd84655e5ff9059,VESSEL,0,0
8d15e35d1e89685d,KNIFE,1,0
8d15e35d1e89685d,VESSEL,1,1
f25d6e3899410fe4,KNIFE,1,0
f25d6e3899410fe4,VESSEL,1,0
f04f3baab93845c1,KNIFE,0,0
f04f3baab93845c1,VESSEL,0,0
56215cbd2177e06d,KNIFE,0,0
56215cbd2177e06d,VESSEL,0,0
